Location,Year,monthname,totalnetrevenue_indexed,totalbookings,cumulativeyearlyrevenue_indexed,previousmonthrevenue_indexed,mom_growth_pct
Cambridge,2025,January,1636.8,30,1636.8,,
Cambridge,2025,February,4909.5,65,6546.3,1636.8,199.94
Cambridge,2025,March,5713.8,59,12260.2,4909.5,16.38
Cambridge,2025,April,5951.4,61,18211.5,5713.8,4.16
Cambridge,2025,May,5685.3,67,23896.9,5951.4,-4.47
Cambridge,2025,June,5990.4,50,29887.3,5685.3,5.37
Cambridge,2025,July,6601.4,76,36488.7,5990.4,10.2
Cambridge,2025,August,9195.1,104,45683.8,6601.4,39.29
Cambridge,2025,September,9479.2,75,55163.0,9195.1,3.09
Cambridge,2025,October,11273.7,91,66436.6,9479.2,18.93
Cambridge,2025,November,10272.1,90,76708.7,11273.7,-8.88
Cambridge,2025,December,7918.7,69,84627.4,10272.1,-22.91
Cambridge,2026,January,9441.2,74,9441.2,7918.7,19.23
Cambridge,2026,February,10596.5,117,20037.8,9441.2,12.24
Cambridge,2026,March,7127.2,78,27165.0,10596.5,-32.74
Cambridge,2026,April,3630.4,42,30795.4,7127.2,-49.06
Watford,2025,February,1840.1,35,1840.1,,
Watford,2025,March,2846.1,42,4686.2,1840.1,54.67
Watford,2025,April,3461.1,53,8147.3,2846.1,21.61
Watford,2025,May,3783.1,41,11930.4,3461.1,9.3
Watford,2025,June,3905.8,44,15836.2,3783.1,3.24
Watford,2025,July,5139.9,58,20976.1,3905.8,31.6
Watford,2025,August,7844.2,97,28820.4,5139.9,52.61
Watford,2025,September,10224.4,79,39044.7,7844.2,30.34
Watford,2025,October,11049.9,88,50094.6,10224.4,8.07
Watford,2025,November,10045.9,87,60140.5,11049.9,-9.09
Watford,2025,December,8751.3,77,68891.8,10045.9,-12.89
Watford,2026,January,11291.0,97,11291.0,8751.3,29.02
Watford,2026,February,8534.0,85,19825.0,11291.0,-24.42
Watford,2026,March,6079.4,63,25904.4,8534.0,-28.76
Watford,2026,April,3280.9,41,29185.4,6079.4,-46.03
