branch,item_name,total_unique_guests,repeat_guests_count,customer_retention_rate_pct
Cambridge,Smash Point Party,28,3,10.71
Cambridge,VR Escape Room,267,17,6.37
Cambridge,Xtra Games,476,30,6.3
Cambridge,Smashpoint,166,10,6.02
Cambridge,VR Escape Room - Party,17,1,5.88
Cambridge,Valentine's VR Experience,2,0,0.0
Cambridge,Ubisoft Escape Games,46,0,0.0
Cambridge,Gift Card - VRXtra Cambridge,31,0,0.0
Cambridge,Xtra Games Party,36,0,0.0
Cambridge,VR Meal Deal,5,0,0.0
Watford,Xtra Games Party,21,3,14.29
Watford,Xtra Games,436,40,9.17
Watford,VR Excape Room Party,24,2,8.33
Watford,Ubisoft Escape Games,21,1,4.76
Watford,Smash Point,126,5,3.97
Watford,VR Excape Room,202,8,3.96
Watford,Smash Point Party,55,1,1.82
Watford,VR Meal Deal,1,0,0.0
Watford,GiftCard - VRXtra Watford,14,0,0.0
