branch,day_of_week,hour_of_day,dow_sort,total_bookings_count,hourly_net_revenue_indexed
Cambridge,Sunday,0,0,3,251.7
Cambridge,Sunday,10,0,14,1763.4
Cambridge,Sunday,11,0,23,2772.2
Cambridge,Sunday,12,0,34,3995.1
Cambridge,Sunday,13,0,21,2063.5
Cambridge,Sunday,14,0,58,6994.4
Cambridge,Sunday,15,0,31,4763.3
Cambridge,Sunday,16,0,23,2682.1
Cambridge,Sunday,17,0,12,1207.4
Cambridge,Sunday,18,0,9,478.1
Cambridge,Sunday,19,0,7,382.4
Cambridge,Sunday,20,0,2,170.9
Cambridge,Monday,0,1,4,317.9
Cambridge,Monday,10,1,8,562.3
Cambridge,Monday,11,1,11,635.7
Cambridge,Monday,12,1,10,658.8
Cambridge,Monday,13,1,6,354.7
Cambridge,Monday,14,1,19,1583.7
Cambridge,Monday,15,1,11,833.0
Cambridge,Monday,16,1,9,671.1
Cambridge,Monday,17,1,7,610.5
Cambridge,Monday,18,1,6,387.8
Cambridge,Monday,19,1,4,203.0
Cambridge,Monday,20,1,3,180.2
Cambridge,Tuesday,0,2,3,231.2
Cambridge,Tuesday,10,2,5,488.7
Cambridge,Tuesday,11,2,7,378.5
Cambridge,Tuesday,12,2,2,154.8
Cambridge,Tuesday,13,2,4,205.1
Cambridge,Tuesday,14,2,12,793.0
Cambridge,Tuesday,15,2,7,421.0
Cambridge,Tuesday,16,2,13,880.7
Cambridge,Tuesday,17,2,4,595.0
Cambridge,Tuesday,18,2,10,1053.1
Cambridge,Tuesday,19,2,5,329.4
Cambridge,Wednesday,0,3,6,235.9
Cambridge,Wednesday,10,3,6,465.4
Cambridge,Wednesday,11,3,13,655.6
Cambridge,Wednesday,12,3,4,194.2
Cambridge,Wednesday,13,3,7,580.2
Cambridge,Wednesday,14,3,23,2283.8
Cambridge,Wednesday,15,3,10,1164.4
Cambridge,Wednesday,16,3,8,953.8
Cambridge,Wednesday,17,3,3,439.5
Cambridge,Wednesday,18,3,9,1112.3
Cambridge,Wednesday,19,3,3,158.9
Cambridge,Wednesday,20,3,3,186.5
Cambridge,Thursday,0,4,8,445.8
Cambridge,Thursday,10,4,3,258.7
Cambridge,Thursday,11,4,9,843.3
Cambridge,Thursday,12,4,9,496.4
Cambridge,Thursday,13,4,7,484.2
Cambridge,Thursday,14,4,28,2852.5
Cambridge,Thursday,15,4,8,683.6
Cambridge,Thursday,16,4,10,820.5
Cambridge,Thursday,17,4,7,712.2
Cambridge,Thursday,18,4,8,457.4
Cambridge,Thursday,19,4,4,466.0
Cambridge,Thursday,20,4,4,175.9
Cambridge,Friday,0,5,3,299.2
Cambridge,Friday,10,5,6,393.1
Cambridge,Friday,11,5,12,1108.4
Cambridge,Friday,12,5,8,665.3
Cambridge,Friday,13,5,7,439.5
Cambridge,Friday,14,5,32,3153.6
Cambridge,Friday,15,5,11,1322.6
Cambridge,Friday,16,5,12,1105.1
Cambridge,Friday,17,5,15,1532.9
Cambridge,Friday,18,5,8,687.3
Cambridge,Friday,19,5,8,858.3
Cambridge,Friday,20,5,6,332.3
Cambridge,Saturday,0,6,4,200.7
Cambridge,Saturday,10,6,19,2987.9
Cambridge,Saturday,11,6,34,3679.7
Cambridge,Saturday,12,6,51,5992.5
Cambridge,Saturday,13,6,34,3155.3
Cambridge,Saturday,14,6,77,8871.2
Cambridge,Saturday,15,6,70,8617.8
Cambridge,Saturday,16,6,53,5758.9
Cambridge,Saturday,17,6,30,3339.2
Cambridge,Saturday,18,6,22,2005.0
Cambridge,Saturday,19,6,11,890.3
Cambridge,Saturday,20,6,4,394.9
Watford,Sunday,0,0,3,314.3
Watford,Sunday,10,0,10,1892.3
Watford,Sunday,11,0,24,2950.2
Watford,Sunday,12,0,37,5692.8
Watford,Sunday,13,0,28,3410.5
Watford,Sunday,14,0,38,3982.2
Watford,Sunday,15,0,35,4995.8
Watford,Sunday,16,0,28,2860.5
Watford,Sunday,17,0,13,913.3
Watford,Sunday,18,0,11,915.3
Watford,Sunday,19,0,8,552.6
Watford,Monday,10,1,2,247.9
Watford,Monday,11,1,8,930.5
Watford,Monday,12,1,5,366.3
Watford,Monday,13,1,4,349.1
Watford,Monday,14,1,14,998.6
Watford,Monday,15,1,8,782.4
Watford,Monday,16,1,6,637.0
Watford,Monday,17,1,3,261.5
Watford,Monday,18,1,5,338.3
Watford,Monday,19,1,5,470.5
Watford,Tuesday,0,2,3,184.5
Watford,Tuesday,10,2,6,526.1
Watford,Tuesday,11,2,9,648.4
Watford,Tuesday,12,2,8,662.5
Watford,Tuesday,13,2,6,395.1
Watford,Tuesday,14,2,19,1105.9
Watford,Tuesday,15,2,11,755.4
Watford,Tuesday,16,2,10,484.1
Watford,Tuesday,17,2,4,566.6
Watford,Tuesday,18,2,7,641.8
Watford,Tuesday,19,2,8,495.3
Watford,Wednesday,0,3,1,0.0
Watford,Wednesday,10,3,3,223.3
Watford,Wednesday,11,3,7,522.1
Watford,Wednesday,12,3,7,309.8
Watford,Wednesday,13,3,4,253.1
Watford,Wednesday,14,3,15,784.7
Watford,Wednesday,15,3,8,500.8
Watford,Wednesday,16,3,8,1120.7
Watford,Wednesday,17,3,3,204.1
Watford,Wednesday,18,3,11,885.0
Watford,Wednesday,19,3,4,223.6
Watford,Wednesday,20,3,2,59.2
Watford,Thursday,0,4,3,138.4
Watford,Thursday,10,4,1,64.6
Watford,Thursday,11,4,6,576.0
Watford,Thursday,12,4,3,115.7
Watford,Thursday,13,4,5,339.6
Watford,Thursday,14,4,10,1083.5
Watford,Thursday,15,4,9,630.7
Watford,Thursday,16,4,8,466.3
Watford,Thursday,17,4,3,362.4
Watford,Thursday,18,4,5,288.9
Watford,Thursday,19,4,3,208.9
Watford,Thursday,20,4,1,148.1
Watford,Friday,0,5,1,46.0
Watford,Friday,10,5,2,173.7
Watford,Friday,11,5,5,657.7
Watford,Friday,12,5,8,547.6
Watford,Friday,13,5,8,489.4
Watford,Friday,14,5,11,859.3
Watford,Friday,15,5,12,960.4
Watford,Friday,16,5,13,1254.8
Watford,Friday,17,5,9,834.9
Watford,Friday,18,5,23,1532.5
Watford,Friday,19,5,19,1702.3
Watford,Friday,20,5,5,254.7
Watford,Saturday,0,6,3,126.5
Watford,Saturday,10,6,15,1751.4
Watford,Saturday,11,6,20,3301.1
Watford,Saturday,12,6,34,3447.2
Watford,Saturday,13,6,33,3041.4
Watford,Saturday,14,6,66,7182.1
Watford,Saturday,15,6,47,4642.4
Watford,Saturday,16,6,49,6281.7
Watford,Saturday,17,6,34,3402.1
Watford,Saturday,18,6,34,3575.8
Watford,Saturday,19,6,15,1711.7
Watford,Saturday,20,6,5,463.1
